time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160625:1210,138374,343,396.74,13.62,64.54,20.06,3.21,0
20160625:1310,22236,0,130.28,2.73,58.49,19.96,3.67,0
20160625:1410,15154,0,94.09,1.97,49.82,19.86,4.13,0
20160625:1510,17290,0,104.94,2.2,40.04,19.75,4.59,0
20160625:1610,49960,57.51,212.04,5.61,29.91,19.03,4.16,0
20160625:1710,10548,0,69.66,1.46,19.88,18.32,3.73,0
20160625:1810,2390,0,23.8,0.53,10.26,17.6,3.3,0
20160625:1910,0,0,0,0,0,16.9,3,0
20160625:2010,0,0,0,0,0,16.2,2.71,0
20160625:2110,0,0,0,0,0,15.5,2.41,0
20160625:2210,0,0,0,0,0,15.22,2.06,0
20160625:2310,0,0,0,0,0,14.94,1.7,0
20160626:0010,0,0,0,0,0,14.66,1.34,0
